title,published,source,summary,link,country
Singapore Oceanarium to open in Sentosa on July 23,"Mon, 26 May 2025 12:29:00 +0800",The Straits Times Singapore News,<p>The attraction at Resorts World Sentosa will be three times larger than its predecessor S.E.A. Aquarium.</p>,https://www.straitstimes.com/singapore/singapore-oceanarium-to-open-in-sentosa-on-july-23,Singapore
Two motorcyclists taken to hospital after accident near Woodlands Checkpoint,"Mon, 26 May 2025 12:05:00 +0800",The Straits Times Singapore News,<p>The accident is the latest in a string of accidents in recent months at or around the checkpoint.</p>,https://www.straitstimes.com/singapore/two-motorcyclists-taken-to-hospital-after-accident-near-woodlands-checkpoint,Singapore
84-year-old pedestrian dies in Choa Chu Kang accident; minibus driver arrested,"Mon, 26 May 2025 11:10:00 +0800",The Straits Times Singapore News,"<p>The driver, a 53-year-old man, was arrested for careless driving causing death.</p>",https://www.straitstimes.com/singapore/84-year-old-pedestrian-dies-in-choa-chu-kang-accident-minibus-driver-arrested,Singapore
Realigned Lim Chu Kang Road to open from June 8; existing stretch will be closed,"Mon, 26 May 2025 10:59:51 +0800",The Straits Times Singapore News,<p>The road will be extended to facilitate the expansion of Tengah Air Base.</p>,https://www.straitstimes.com/singapore/transport/realigned-lim-chu-kang-road-to-open-from-june-8-existing-road-to-be-closed,Singapore
NYP nursing grad who lost father at a young age will now study medicine at NUS,"Mon, 26 May 2025 05:01:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/nyp-nursing-grad-who-lost-father-at-a-young-age-will-now-study-medicine-at-nus,Singapore
ST Picks: Chelsea co-owner Todd Boehly on why competition is key for success,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/st-picks-chelsea-co-owner-todd-boehly-on-why-competition-is-key-for-success,Singapore
ST Picks: What can be done to help small businesses amid rising rents?,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/st-picks-what-can-be-done-to-help-small-businesses-amid-rising-rents,Singapore
ST Picks: Using GenAI for job application - fair game or foul play?,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/jobs/st-picks-using-genai-for-job-application-fair-game-or-foul-play,Singapore
Rising rents put the squeeze on small businesses in Singapore: Should the Govt do more?,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,<p>Experts ST spoke to painted a picture of a retail environment where landlords hold most of the cards.</p>,https://www.straitstimes.com/singapore/rising-rents-put-the-squeeze-on-small-businesses-should-the-government-do-more,Singapore
US scientists create gel that attracts coral babies in drive to restore reefs,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,<p>More studies are needed to prove that the gel can work with other corals.</p>,https://www.straitstimes.com/singapore/environment/us-scientists-create-gel-that-attracts-coral-babies-in-drive-to-restore-reefs,Singapore
ST Picks: Don’t stop reading stories to your kids even as they grow older,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,,https://www.straitstimes.com/singapore/parenting-education/st-picks-dont-stop-reading-stories-to-your-kids-even-as-they-grow-older,Singapore
Views From The Couch: When love ends – understanding heartbreak,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,<p>Heartbreak is a universal pain that the community can help heal.</p>,https://www.straitstimes.com/singapore/health/when-love-ends-understanding-heartbreak,Singapore
Community care: How one man managed his agoraphobia without hospital treatment,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,<p>Being treated in the community helped greatly with his phobia.</p>,https://www.straitstimes.com/singapore/health/community-care-how-one-man-managed-his-agoraphobia-without-hospital-treatment,Singapore
Singapore GPs step up to support those with mental health problems,"Mon, 26 May 2025 05:00:00 +0800",The Straits Times Singapore News,"<p>As at December 2024, over 520 GPs have joined the Mental Health General Practitioner Partnership programme.</p>",https://www.straitstimes.com/singapore/health/gps-step-up-to-support-those-with-mental-health-problems,Singapore
"10 years on, survivors of fatal Mount Kinabalu expedition return to finish what they started","Sun, 25 May 2025 21:36:25 +0800",The Straits Times Singapore News,"<p>“Finally after 10 years, I could let go of all the suppressed emotions,” said one of the climbers.</p>",https://www.straitstimes.com/singapore/community/10-years-on-survivors-of-fatal-mount-kinabalu-expedition-return-to-finish-what-they-started,Singapore
